id,articleType,status,text,normalArticleReplyCount,createdAt,updatedAt,lastRequestedAt,userIdsha256,appId,references
3r8r6jbdqkhyo,TEXT,NORMAL,"謊言台灣

操弄、造謠、誤導、攻擊…… 假新聞滿天飛

文 / 彭杏珠
遠見雜誌 2018 年 6 月號


「芒果打催熟劑，有毒不能吃」「香腸不能和養樂多一起吃，會致癌」你是否曾收過以上訊息並隨手轉發？小心，這些都是食藥假新聞！而謠言大本營就是內容農場。

另外，自美國總統川普被質疑因「假新聞」勝選後，面對台灣年底「九合一」選舉，臉書、LINE、PTT勢必成為網軍攻防戰場，如何防止政治假新聞操弄，候選人不能輕忽。

《遠見》團隊率台灣媒體之先，為讀者深入追蹤並拆解內容農場經營模式、提供辨別食藥資訊真偽步驟。下次，當你收到疑似假新聞的訊息時，不會再受騙上當。

你知道，台灣也被「假新聞」包圍了嗎？

不要以為，只有在美國大選期間才會發生川普假新聞事件；也不要以為，只有德國才會出現「總理梅克爾與恐怖分子自拍」的假新聞。這些都很有可能發生在台灣，而且各種政治、食品醫藥假新聞，早在你我生活周遭蔓延開來。

就在不久前，今年的3月29日，不少台灣民眾從LINE平台收到一張《時代雜誌》（TIME）的封面圖，英文標題「台灣，鐵幕國家」（Taiwan, the Iron Curtain Country）。圖像是總統府前的鐵絲網帶刺沾血。置頂一行英文字：「令人不滿意的蔡英文，騙人的民進黨」（The Wonky Tsai, The Monkey DPP）。

一時間，台灣上了《時代雜誌》的封面，流傳於各大媒體與政治圈，網路打假團隊也出動，很快就識破這是假的。

就在鐵幕假新聞盛傳的前10天，一則「蔡政府為酬庸他（指吳晟）……，聘任為有給職國策顧問，月領35萬（即年薪420萬）……」的訊息，也在臉書粉專與社群流傳。這篇被證實來自內容農場，不實之處是國策顧問是無給職。

假新聞無處不在  食藥、政治謠言最大宗

看完這兩則政治假新聞，可別以為假新聞都與你無關。

今年2月的最後一週，你是否也加入搶購衛生紙行列？3月14日，公平會調查後，發現是賣場為促銷而發布的不實訊息，處以350萬元罰鍰。

其實，假新聞早已入侵大家的生活中，只是多數人未察覺。

每天一早起床，打開手機，LINE就傳來噹噹提醒聲，除長輩的早安問候貼圖，還有各種訊息。最近，不少人都收到這則分享：美國宣布基因改造食物含有嚴重毒素……條形碼以「8」開頭的是基改食品，甜玉米、紫地瓜都是，千萬別買別食用！

其實，這是死灰復燃的假新聞，農委會2015年4月澄清過，沒想到近來又盛傳，今年2月22日食藥署再闢謠一次。但不少民眾卻寧可信其有。

今年5月初，一位家住台北的老太太從手機收到這則訊息後，立刻轉給媳婦，並提醒她不要再買紫地瓜、甜玉米了。媳婦趕緊上網查詢，回覆婆婆，這是假新聞啦。未料，婆婆有些不悅地說：小心一點，不吃會怎樣？讓媳婦頗為無奈。

其實，每天從LINE與臉書分享的訊息，早已摻雜各種假新聞，最為學者關切的是食品醫藥與政治類假新聞。

例如與季節、節日有關的謠言，幾乎每年重傳一遍。到芒果盛產期會收到：芒果打催熟劑，有毒不能吃！逼近中秋節時會提醒：別買秋刀魚，體內線蟲超標！到了吃火鍋的時節，「火鍋煮蝦飄橘紅物會慢性中毒？」「不肖業者會添加蝦紅素！」這些假新聞總會一傳再傳。

由於重傳頻率過高，連立委邱議瑩都督促主管機關要積極闢謠，「都澄清好幾遍了，真的很困擾，」農委會祕書室主任黃秀美說。

甚至還有破壞企業聲譽的假新聞，統一、義美都曾是受害者。今年春節前夕，許多人的LINE、臉書都收到「查獲2.5噸黑心食品，義美年菜過期10年」的訊息，甚至引來記者跟進報導。

這則新聞確實發生過，但不是在今年，而是2015年。訊息一轉傳後，當時的打假組織「MyGoPen——這是假消息」網站負責人Charles就收到非常多回報，紛紛詢問義美是否發生食安問題？他才趕緊追查出來是假的。

目的1〉賺取商業利益

內容農場製造文章 衝流量爭取廣告

為何假新聞被大量製造、轉傳？就是為了賺錢。

來源不明的「內容農場」堪稱假新聞來源的大本營。「平台經營者、撰文者、導流者」，靠製造大量聳動文章，衝流量以爭取廣告，獲取利潤。

全球最知名的政治假新聞事件發生在2016年美國大選期間，來自馬其頓的內容農場。根據美國網路媒體《BuzzFeed》報導，馬其頓青年將寫假新聞視為賺錢捷徑，成功的「作家」每月可賺5000美元（約台幣15萬）。甚至有多產的臉書假新聞寫手，月收入1萬美元（約台幣30萬）。

2014年，台灣也出現首家由年輕人創設的內容農場，生意還做到馬來西亞、中國等華人地區。

就在本期《遠見》截稿前，5月21日，台灣各大媒體均引用一篇鴻海董事長郭台銘的談話。新聞指出，郭台銘對於「錢多事少離家近，睡覺睡到自然醒」這種觀念十分不以為然，他說：「如果我的孩子面對工作存這種心態，我隔天就打斷他的腿。」

《遠見》求證鴻海代理發言人黃欽旻，他表示，那是2013年的假農場文，2016年MyGoPen也證實為假，某些內容相同的農場文裡，主角還變成香港首富李嘉誠。

有此可見農場文的威力。有人就形容，農場文已像詐騙電話一樣氾濫。

另外，還有人為騙取帳號，以賣帳號套利，利用假新聞讓民眾掉入陷阱。例如今年春節前，LINE傳「加入好友，獲全家禮券300元」。2月間，很多人都收到星巴克買一送一的訊息，事後都被證實是偽造。

今年母親節期間，LINE瘋傳：大同100週年！開放大同寶寶貼圖下載！只到今晚12點。連立委都差點被騙，經助理提醒才知道是假的。

目的2〉政治操作

攻擊敵對政營、意圖影響選情

除商業目的外，還有政治動機的假新聞。

根據台大新聞研究所教授林照真帶研究生調查發現，年金改革議題是近來最大宗的政治假新聞。光從年改會的「重要輿情回應」專區，就能找到數十則澄清稿。

從2016年6月23日，年改委員會召開第一次會議後，網路就陸續流傳各種年改假新聞。2016年8、9月間，一則來自大陸的農場文，指稱蔡英文擁有日本國籍，日名為「恰佳英子」，應比照李慶安辭立委之前例，宣告蔡英文當選無效。

2017年4月，反年改的臉書社團貼出「公務員竟不如遊民」的文章，講述台北市政府給龍山寺單身遊民每月1萬8000元低收入戶補助，有配偶者每月給3萬1000元……，軍公教待遇居然不如遊民。帶給台北市政府很大困擾，還特別發新聞稿闢謠。

尤其，蔡英文總統上台後，兩岸關係緊張，學界也開始關注大陸是否會製造假新聞以影響政局。今年3月16日，數家媒體不約而同報導大陸《環球時報》曝光的一段台灣漁船向大陸求救的影片，漁業署調查發現影片前年就出現過，去年也在網路盛傳，但根本沒有接獲漁船求援通知。

再來，就是意圖影響選情的假新聞。2014年台北市長選舉堪稱是網路假新聞最氾濫的一次。今年底，台灣將迎來地方縣市長、縣市議員等的「九合一」選舉，學界都將此視為觀察重點。

近來假新聞為何變成重大議題？主因是2016年美國總統大選，川普當選，事後證明假新聞扮演關鍵角色。讓人驚呼民主竟然可以被操弄。

而助長美國大選假新聞到處流竄的，正是社群平台。不管是臉書、LINE、Google、YouTube或台灣本土的批踢踢（PTT），一開始成立都是為了讓大眾有平等發言的舞台。趨勢科技資深威脅研究員費尤多．雅洛奇金（Fyodor Yarochkin）說，工具本身並無對錯，端看使用的人，「就像槍不會殺人，是人讓槍殺人。」

不過，由於臉書等社群平台已證明可被操弄後，各國政府也不得不要求平台要負起責任。

2018年1月23日，臉書代表對外承認，美國大選期間，有俄羅斯用戶製造八萬則假新聞，觸及1.26億個美國人。「有國家用我們的平台發起網路戰爭，試圖分裂社會，是很可惡的事，是我們難以預料的威脅，我們當時應該做的更好。」

然而，全球對社群平台的依賴卻愈來愈深。據德國漢堡大學作傳媒研究的Hans-Bredow-Institut學院調查指出，18至35歲民眾中，有一半透過網路看新聞。年輕一代有1／3直接從臉書看新聞。

台灣更是LINE的高度使用區，滲透率達82.6％（1900萬用戶），每月臉書活躍用戶1800萬。

「透過這些社群平台，只要按個鍵分享，就像病毒般傳染，一傳十、十傳百難以控制，」台北大學法律系助理教授黃銘輝說，這也正是網路假新聞可怕之處。

台大經濟系副教授樊家忠分析，在網路上製造假新聞成本非常低，瀏覽者要核實的成本卻很高，「臉書等社群媒體已成為假新聞的樂土。」

偏偏假新聞常因標題聳動、內容誇大，比正確的新聞更吸引民眾。

個人成見、同溫層效應  不實消息氾濫成災

樊家忠指出，假新聞會猖獗，是人們對假新聞有偏好，這樣的偏好來自於偏見。例如希拉蕊的支持者對川普不利的假新聞接受度非常高，川普的支持者則剛好相反。

另外，社群媒體「同溫層」現象明顯，各社群平台會聚集同樣偏好的人，分享同性質消息，以支持既有見解或互相取暖，也較難接受不同意見。國外研究發現同溫層的人對假新聞接受度比較高。

個人成見與同溫層效應，讓假新聞的傳輸速度超乎想像。今年3月初，麻省理工學院（MIT）研究人員在《科學》期刊發表報告，Twitter上假新聞的散播速度比真相快六倍，觸及人數更多。

棘手的是，多數人無法分辨真偽。2016年底，美國網路媒體《BuzzFeed》針對大選做網路調查發現，3000名受訪者裡有看過或聽過假新聞的人中，75％相信這些新聞「非常正確」或「多少是正確的」。

尤其，在言論自由保護傘下，隨意爆料的人躲在平台幕後，無法可管，讓被假新聞攻擊者感到束手無策。現在還有來自「聊天機器人」（Social Bots）的假新聞，讓追查工作更為困難。

近日來，國會立委不斷呼籲要立法加以管理。立委黃偉哲說，濫用言論自由，如破壞社會秩序，還是要接受制裁，「否則以後是不是可以隨便說戲院失火了、機場有炸彈都沒關係了。」

破壞人與人的信任 讓社會失序

更令學者擔憂的是，目前台灣已是假新聞的沃土。中正大學傳播系教授胡元輝說，台灣有政黨對立、階級對立（勞資、貧富差距）、價值對立（同婚、年改議題），還有國家認同的差異，這些都是假新聞的溫床。「我最擔心的是，假新聞破壞人與人之間的信任，讓社會失序，」他眉頭深鎖。

中正大學傳播系教授胡元輝表示，他最擔心「假新聞破壞人與人之間的信任，讓社會失序，」

由於假新聞議題迅速崛起，2016年底，英國《牛津大辭典》公布該年度代表字為post-truth（後真相）。不少人也擔心在「後真相」時代，人類是否將永遠與假新聞為伍。

面對此全新的議題，目前各國仍無有效遏止的措施，包括台灣在內。林照真呼籲，「假新聞不會結束，我們的研究才剛開始，希望民眾能跟研究者一起努力。」

《遠見》彙整各方意見，建議台灣可朝立法（數位通傳法）、鼓勵公民團體投入事實查核、從小培養孩子的媒體識讀能力，進行媒體改革以善盡查證責任等方向努力。

萬事起頭難。黃銘輝說，對抗假新聞，我們一定要從陣痛中學習，可能需要痛好多次，但一定會慢慢成長進步。

",1,2018-06-11T07:45:57.443Z,2018-06-11T07:45:57.443Z,2022-05-08T09:31:00.184Z,ea4682bd18021c6cd8390e367b7c89e3ed6b40fc9b01975833b0010b636f863d,RUMORS_LINE_BOT,LINE
58moxxw1o2i7,TEXT,NORMAL,"經過周末的大選
我們來看世界各國
看到什麼樣的台灣
.
∎瑞士新蘇黎世報 Neue Zürcher
台灣執政黨大敗，北京取得勝利
.
∎英國國家廣播 BBC
為了經濟
台灣選民想跟中國保持良好關係
.
∎日本産経ニュース
選舉後，中國將更強硬
.
∎英國路透社 Reuters
台灣人鼓勵親中反對黨
.
∎法國迴聲報 Les Échos
中國陰影下台灣民主受壓漸大
.
∎美國財經媒體 Quartz 
台灣同性婚姻公投
反同陣營散播假新聞
.
∎紐約時報 The New York Times
中共加強與藍縣市長對話
增加對台滲透力
.
∎德國之聲Deutsche Welle
中方認為，台灣選舉顯示
台灣人希望彼此的關係更靠近
",1,2018-11-27T02:41:44.528Z,2018-11-27T02:41:44.528Z,2018-12-22T04:42:01.679Z,aee9f0f1f0648165412fca958a5f9c9cebb71bd047f1ded2e0c21e4c6f7ae2c3,RUMORS_LINE_BOT,LINE
21u9gptuppz67,TEXT,NORMAL,"(!)少數立委想藉愛家公投結果推動同性婚姻專法，這絕對不是愛家公投的主張！

第10案婚姻定義公投是「立法原則的創制」，主文是《民法》婚姻應限定在一男一女的結合。10案公投通過後，《民法》應明文一男一女婚姻定義，並停止之前欲修改《民法》為同婚的立法進程。

第12案不是「同性婚姻」專法公投，因為在公投主文及理由書中，並沒有出現「同性婚姻」這4個字！12案公投的主文是用「婚姻以外」的其他形式保障同性共同生活權益，因此12案公投通過後，政府應另立「同性共同生活法」，給予同志朋友基本的生活保障，處理醫療、財產等問題。

(clap)公投第12案 另立同性共同生活法（曾獻瑩）
https://tw.appledaily.com/headline/daily/20181202/38195230/

【請分享訊息  長按此訊息轉傳】
(gift)加入幸福盟Line  掌握愛家公投後續動向
http://bit.ly/2GR0WEr",1,2018-12-06T07:38:07.509Z,2018-12-06T07:38:07.509Z,2018-12-06T07:38:07.576Z,128388fe6775c7e0c70bfb10c207ac659840249ad07a4bf3f1d1b36b5fdf4d3b,RUMORS_LINE_BOT,LINE
1w6gajud6qwij,TEXT,NORMAL,"這亞太新聞網和大話新聞網及民報都刊登的很清楚完整！請大家夥伴們一起努力讓自己更多人知道轉傳全世界群組及親朋好友！                                http://www.atanews.net/?taiwan-Taipei=46088
http://www.atanews.net/?taiwan-Taipei=46088。       ［今日大話新聞】
男同志捐血爭議延燒　民團爆料「檢驗儀器十年未汰換」
https://goo.gl/3WZPjJ.                             捐血檢測儀器用十年還沒汰換　民團痛批衛福部失職、說謊 | 民報 Taiwan People News
http://www.peoplenews.tw/news/9a482cf9-1294-4ab1-9678-3f4bd72309d6.                                       https://m.facebook.com/story.php?story_fbid=1006427189531733&id=700366036804518.                ",2,2018-06-29T03:47:03.260Z,2018-06-29T03:47:03.260Z,2018-06-29T03:47:03.279Z,b9ee957908c61f3b6c9675687224d9fc1c866a11462de8e951df8f8314166458,RUMORS_LINE_BOT,LINE
bm12zy9pl32c,TEXT,NORMAL,"新式身份證正在票選中

政府想藉此機會去掉 性別/父母/配偶 欄位，甚至 國名/國徽 
為 同婚和去中華民國 鋪路

不認同此作為的朋友，請用選票表達意見。支持設計概念、欄位最完整的#795

※一人一天可投3票，請重複投#
795
https://identityredesign.tw/work.html?work_id=795",1,2018-04-25T05:53:39.290Z,2018-04-25T05:53:39.290Z,2018-04-25T05:53:39.306Z,478d9b99caa5203454854d09725cf1c66e0dae4aa98511bb4ceefb7aba4feff4,RUMORS_LINE_BOT,LINE
140p76mojfs0q,TEXT,NORMAL,"   我有看到組群裡在討論公投裡的議題，每個人都站在不同的角度看待事情，觀念不同所看到.所感受到層面更有所差異，大家都有不同的想法，各人有各人看待的態度，一點都沒輕視無排斥同性戀者，可以借組群表達，共同討論，畢竟是真會動搖家庭倫理.國家根本的議題。             同性戀議題像潘朵拉的盒子國際間很多國家都不敢去碰觸.打開那盒子，所以讓其undertable的存在，彼此尊重相安無事，從沒有一個國家去啄磨這個議題，現在台灣官方打開那盒子不儘上了公投的抬面更是大肆宣傳甚至要立法。連日本網站都在討論我們台灣的議題更說：台灣官方要把台灣變成愛滋病人的天堂。同性戀.同性婚姻.同性家庭擁有小孩，這議題對醫療界投下非常大的震撼彈，報紙.健康雜誌幾乎幾天就出現一次報導呼籲這將導至病毒的失控及健保的負擔。                                  支持同性戀這議題非表面上的人格尊重.心理支持那麼表淺簡單的個題而已。同性戀是與愛滋病畫上等號的。沒有100%也有80-90%，台灣從2012年起每個月增加約200人病人，每年約增加2200人次，至今年10月份台灣愛滋病人約有36000，這是有記錄的加上沒記錄的數字應該會更高。它經體液（口水，汗水，分泌物，母乳.精液.血液）接觸黏膜.皮膚傷口傳染，針頭.刺青.性關係傳染病毒。                        我在高醫加護病房上班時，有ㄧ病人入院後他的病兆讓醫師馬上抽血·經證實愛滋病毒（+）醫護人員全護武裝，誰都怕自己沒注意有小傷口。高大成法醫，曾驗ㄧ愛滋病人遺體，受扎一小傷口，持續抽血追蹤，到今年第十年呈（ㄧ）陰性，他才鬆ㄧ口氣的放心。NBA有一球員，球隊定期抽血檢查時血液呈（+）球隊馬上要他走路，因為打球彼此身體碰撞，接觸體液汗水機會很大，球員食衣住行常在一起難免有所接觸，它沒很很很可怕但誰都不想感染。                    媒體最近針對這議題，有邀請同性家庭取別人精子生的小孩上電視，ㄧ般言談都敍述一生過的痛苦，孤單，被岐視，被霸凌（我聽了都眼框濕了）。更說（父母）自私，只在乎滿足自己想要擁有小孩，從沒考慮到小孩自己想不想被存在。
我是以一個醫護人員的角度，說說自己的淺見及經驗，大家都可以依自己的想法來討論討論那非常複雜的議題，熔燴各方的見解，來勾下那正確的選擇。（謝爸叫我不要發言，但我是醫護人員，我很担憂狀況失控後台灣將變成什麼樣子）。",1,2018-11-13T22:38:31.344Z,2018-11-13T22:38:31.344Z,2018-11-13T22:38:31.390Z,6127cfea9de84378e2c39a10882fb60256653833b30ecfc17eacfd62354509c8,RUMORS_LINE_BOT,LINE
1l21l6h60pxir,TEXT,NORMAL,"晚安，愛家的朋友們：

誰能想像，現在高大、燦笑、健康、爽朗的他曾行走過很長一段人生的幽暗長廊。
被同學辱罵變態、人妖，青春期的同儕關係十分困難……
在異地遇見心儀的他，成為同性戀侶，最後以分手收場……
2018年10月20日，他牽著他心愛的女孩，走進結婚禮堂，也邁向新的人生路程。
——跨虹者 真實生命故事
全文閱讀：https://kairos.news/120520


(rock)「愛家三公投，10、11、12同意熊賀(最棒)」
(cellphone)歡迎轉傳，並加入：
「愛家公投line@」
https://line.me/R/ti/p/%40wtp4656q
(!)請按螢幕右下方推薦給50個好友!!",1,2018-11-21T09:39:16.956Z,2018-11-21T09:39:16.956Z,2018-11-21T09:39:17.035Z,84a804dcff1199ec586b72574b7d55bc771b8029dd01147e1291c0cee7d4c265,RUMORS_LINE_BOT,LINE
21i6z6tcvnubo,TEXT,NORMAL,"【真實案例】：同婚過後 父母的很多權利就被剝奪了
不要以為這只會發生在國外，除非我們領公投10、11、12號投下「同意票」，不然這些事將在台灣發生…
請耐心看完底下影片

https://youtu.be/PQpBna2v6Uc",1,2018-10-26T04:49:38.621Z,2018-10-26T04:49:38.621Z,2018-10-26T04:49:38.688Z,c091ba4bbb0be5e51925c82d1591f9afcd4e5c1c80b70f283bb057f9372cfb71,RUMORS_LINE_BOT,LINE
4zntqci0db2u,TEXT,NORMAL,"群組某位弟兄分享：

轉貼

大法官已釋憲，如果年底公投沒達到500萬票，明年五月臺灣將成為亞洲第一個同性可合法結婚的國家。

外國同性戀藉結婚來臺灣治療愛滋病，都是健保支付，全民買單。

學校對國中小實施同志教育，將成為合法。

這次公投要主動向票務員領10、11、12三張公投單選 『同意』。 

11/24一定要去公投！讓我們盡一份心力保護後代子孫。

我之前是做外國人、外籍老師仲介，
這是真的。很多國外有愛滋病的都來臺灣 
以前臺灣會先驗有無愛滋病，有的話要遣返。
現在是直接把這關取消、讓外國人進來，臺灣大門敞開...。
不用懷疑，我就是親身遇過愛滋病從澳洲來的外籍老師來臺灣教小朋友英文，
如果這次不擋，明年五月就完了，健保制度也就會崩潰，請多加宣導。",3,2018-10-31T16:01:26.958Z,2018-10-31T16:01:26.958Z,2018-10-31T16:01:26.980Z,4e5fc9131602c073dcb3d2cd12a3584a19cdab3f1736cd9cd5ae7f7402f47455,RUMORS_LINE_BOT,LINE
22d3sj1zl1v7e,TEXT,NORMAL,嗨，請問蔡英文是同性戀，是真的嗎？,1,2018-07-05T11:09:58.098Z,2018-07-05T11:09:58.098Z,2018-07-05T11:10:25.196Z,b36a2eb61809d7af8e988294b1dccdf9fdd7b828bbe84e565b367d61e645dbbf,RUMORS_LINE_BOT,LINE
